county_number,County Name,composite,literacy,numeracy,alg_1,alg_2,bio,chem,ela,eng_1,eng_2,eng_3,math,science,enrollment,black,hispanic,native,el,swd,ed,expenditures,act_composite,chronic_abs,suspended,expelled,grad,est_count_total,est_count_total_never_married,est_count_total_now_married_except_separated,est_count_total_divorced,est_count_total_separated,est_count_total_widowed,est_count_total_born_in_state_of_residence,est_count_total_born_in_state_of_residence_never_married,school_year,k_8_attendance_rate_pct,k_8_promotion_rate_pct,attendance_rate_pct,never_married_per_capita,married_not_sep_per_capita,divorced_per_capita,separated_per_capita,widowed_per_capita,born_in_state_of_residence_per_capita,born_in_state_of_residence_never_married_per_capita,graduate_category
27,Clay County,3,2,3,68,81.4,65.8,31.8,33.5,60,57.9,35.9,40,54,1024,1.8,2.1,0.3,0.3,16.2,70.7,9237.5,18.4,9.8,0.5,0,96.8,6512,1175,3901,891,70,475,3953,835,2015,95.7,98.97587,92.8,0.1804361,0.5990479,0.13682432,0.010749386,0.07294226,0.6070332,0.1282248,High
29,Cocke County,1,1,1,60.2,33.5,59.5,34.1,42.7,62.7,56.6,27,59.1,65.3,4456,3.7,3.2,0.2,0.6,16.1,76.2,9246.6,18.3,14.9,6.1,0.1,93.9,29228,6104,14937,4631,982,2574,18853,4332,2015,94.6,98.1,93.3,0.2088408,0.511051,0.15844396,0.03359792,0.08806624,0.6450322,0.148214,Medium
29,Cocke County,1,3,1,87.96898,90.55417,82.80064,66.490249,56.9,76.40642,75.11586,41.31259,55.3,84.6,717,7.1,3,0.5,0.8,14.4,58,9216.2,21.60278,11.8,0.1,0,107.71305,29228,6104,14937,4631,982,2574,18853,4332,2015,94.8,98.8,96.23581,0.2088408,0.511051,0.15844396,0.03359792,0.08806624,0.6450322,0.148214,Very High
31,Coffee County,5,4,5,69.8,76.3,67,31.5,47.6,76.2,64.5,40.5,57.6,66.1,4308,2.7,5.2,0.2,1.3,13.9,57.4,9068.1,20,16.5,1.7,0,88.9,42870,9374,23063,5995,1284,3154,24155,6129,2015,95,99.5,93.2,0.2186611,0.5379753,0.13984138,0.029951015,0.07357126,0.5634476,0.1429671,Low
31,Coffee County,1,5,1,84.07778,91.24952,86.01102,81.562112,53.6,73.31166,70.45626,63.77873,59,71.8,1211,5.8,14.6,0.5,10,20.9,23.6,12309.4,24.81949,10.2,0.4,0,95.38716,42870,9374,23063,5995,1284,3154,24155,6129,2015,98.5,98.7,91.10097,0.2186611,0.5379753,0.13984138,0.029951015,0.07357126,0.5634476,0.1429671,High
31,Coffee County,2,3,3,69.1,45.6,72.3,50.2,46.1,80.2,65.4,53.7,53.2,62.1,3275,11.8,5.9,0.4,1.5,16.2,46,10177.5,22.4,13.5,4.3,0,90.9,42870,9374,23063,5995,1284,3154,24155,6129,2015,97.7,99.5,94.7,0.2186611,0.5379753,0.13984138,0.029951015,0.07357126,0.5634476,0.1429671,Medium
33,Crockett County,3,2,3,78,63.5,77.9,43.7,48.8,71.6,65.5,50,57.2,67.3,1932,13.7,14.4,0.1,0.4,11.6,62.4,8093.5,19.1,4.2,0,0.1,95.9,11622,2658,5795,1771,395,1003,8509,2044,2015,96.5,100,98.5,0.2287042,0.4986233,0.15238341,0.033987266,0.08630184,0.7321459,0.1758733,High
33,Crockett County,5,4,3,76.66715,69.38326,55.2471,49.178019,53.5,64.36836,57.89993,51.0269,62.8,74.6,578,11.6,16.7,0,1.1,11.4,69.9,8669.4,17.93184,7.8,0.2,0,88.67339,11622,2658,5795,1771,395,1003,8509,2044,2015,95.7,98,97.23439,0.2287042,0.4986233,0.15238341,0.033987266,0.08630184,0.7321459,0.1758733,Low
33,Crockett County,5,5,2,105.59555,43.40999,86.80854,101.355771,60.8,85.69228,74.73151,50.39456,60.8,79.5,365,16.3,21,0,13.2,13.2,74.1,8817.6,21.38,3.2,0.2,0,95.98672,11622,2658,5795,1771,395,1003,8509,2044,2015,95.9,100,98.8607,0.2287042,0.4986233,0.15238341,0.033987266,0.08630184,0.7321459,0.1758733,High
35,Cumberland County,3,3,3,84.3,63.5,72.5,52.1,52,79.7,65.4,54,58.9,71.2,7067,1.3,4.7,0.3,1.8,15.9,63.8,8490.6,19.6,11.7,0.7,0,93,48924,8661,27872,6821,1401,4169,22173,5345,2015,95.9,97.7,93.4,0.1770297,0.5696999,0.13942033,0.028636252,0.0852138,0.4532131,0.1092511,Medium
37,Davidson County,5,5,1,65.9,40.4,51.7,36.8,39.4,63.7,56.3,29.9,45.4,49.2,79934,44.3,20.7,0.2,16.2,12.4,75.3,11496.3,18.7,14.5,10.7,0.4,78.7,536224,212099,217035,68011,12319,26760,238846,102693,2015,95.3,99.4,91.8,0.3955418,0.4047469,0.12683319,0.022973608,0.04990452,0.4454221,0.1915114,Low
39,Decatur County,1,1,2,70.2,44.3,72.7,42.9,47.1,73.8,69.7,61.1,59.7,71.1,1529,4.2,4.7,0.2,1.1,18.9,57.7,8907.4,18.6,19.3,0.2,0.1,94.4,9676,1872,5429,1263,234,878,6678,1404,2015,94.2,98.1,95.8,0.1934684,0.561079,0.13052914,0.024183547,0.09073998,0.6901612,0.1451013,Medium
41,DeKalb County,4,4,3,52.9,55.6,72.1,53.9,45.7,73.4,72,31,54.4,65.9,2849,1.8,11.3,0.1,5.3,14.4,64.4,7982.5,17.7,13.9,3.8,0,94.9,15636,4129,7833,2259,357,1058,9580,2629,2015,97.9,100,97.1,0.2640701,0.5009593,0.14447429,0.022831926,0.06766436,0.6126887,0.1681376,Medium
