county_number,County Name,composite,literacy,numeracy,alg_1,alg_2,bio,chem,ela,eng_1,eng_2,eng_3,math,science,enrollment,black,hispanic,native,el,swd,ed,expenditures,act_composite,chronic_abs,suspended,expelled,grad,est_count_total,est_count_total_never_married,est_count_total_now_married_except_separated,est_count_total_divorced,est_count_total_separated,est_count_total_widowed,est_count_total_born_in_state_of_residence,est_count_total_born_in_state_of_residence_never_married,school_year,k_8_attendance_rate_pct,k_8_promotion_rate_pct,attendance_rate_pct,never_married_per_capita,married_not_sep_per_capita,divorced_per_capita,separated_per_capita,widowed_per_capita,born_in_state_of_residence_per_capita,born_in_state_of_residence_never_married_per_capita,graduate_category
101,Lewis County,1,1,1,54.1,23.5,52.7,24.4,47.6,68.2,62.3,31,50.2,57.4,1758,3.3,2.4,0.5,0,14.9,72.1,7985.1,18.5,19.4,1,0,87.1,9743,2011,5586,1247,35,864,5963,1406,2015,98.2,95,95,0.2064046,0.5733347,0.12798933,0.003592323,0.08867905,0.6120291,0.1443087,Low
103,Lincoln County,5,5,5,77,62.3,77.3,56.7,57.7,75.6,74.5,52.3,66.5,75.6,3798,3.4,4.2,0.4,1.2,13.6,57,8153.4,19.6,14,2.4,0,95.4,27263,6368,14148,3520,640,2587,14234,3262,2015,98.8,96.7,93.3,0.2335766,0.5189451,0.12911272,0.023475039,0.09489051,0.5220995,0.1196493,High
103,Lincoln County,3,4,3,63.2,56,63.9,44.2,47.9,72.1,68.4,45.9,47.5,66.4,1422,31.9,5.2,0.1,1.2,13.1,53.2,8472.6,19.3,10.1,4.1,0,97.5,27263,6368,14148,3520,640,2587,14234,3262,2015,95.7,94.1,97.1,0.2335766,0.5189451,0.12911272,0.023475039,0.09489051,0.5220995,0.1196493,High
105,Loudon County,3,4,3,71.9,44.5,68.9,46.5,55.2,72.7,68.9,40.8,61.2,71.6,4639,3,10.8,0.2,3.6,13.2,54.9,8776.7,18.8,11.6,2.5,0.1,87.1,42008,8017,25803,4481,597,3110,21530,4774,2015,96.2,99.1,92.5,0.1908446,0.6142401,0.10667016,0.014211579,0.07403352,0.5125214,0.113645,Low
105,Loudon County,3,2,5,66.6,76.7,65.3,54.4,33.8,76.8,68.8,49,45.1,58.4,2238,2.8,25.3,0.5,11.2,14.7,63.3,9135.6,18.9,15.9,5.8,0.3,90.8,42008,8017,25803,4481,597,3110,21530,4774,2015,95.7,99.3,93.3,0.1908446,0.6142401,0.10667016,0.014211579,0.07403352,0.5125214,0.113645,Medium
107,McMinn County,4,5,1,78.2,47.2,71.6,35.4,47.6,68.7,69,45.2,51.9,67.4,5529,5.5,4.8,0.3,0.1,12.7,65.5,7869.6,18.9,15.3,4.3,0,95.7,43058,10332,22418,6124,778,3406,28556,7555,2015,94.3,99.4,93.1,0.2399554,0.5206466,0.14222676,0.018068652,0.07910261,0.6631985,0.175461,High
107,McMinn County,5,5,5,100,101.18425,53.25392,78.416881,52.9,74.19757,65.88426,53.77908,59.4,62.5,1504,16.5,8,0.4,0.1,13.8,73.7,10444.7,19.37645,6.8,1.9,0,93.23357,43058,10332,22418,6124,778,3406,28556,7555,2015,95.9,98.7,98.40775,0.2399554,0.5206466,0.14222676,0.018068652,0.07910261,0.6631985,0.175461,Medium
107,McMinn County,1,2,1,69.60445,56.75162,68.4552,54.966342,38.8,68.01954,46.18562,31.87774,40.2,66.5,310,6.8,4.1,0.6,0,15.1,74,10807.6,19.32856,13.6,3.6,0,94.01479,43058,10332,22418,6124,778,3406,28556,7555,2015,94.2,96.8,92.37093,0.2399554,0.5206466,0.14222676,0.018068652,0.07910261,0.6631985,0.175461,Medium
109,McNairy County,5,3,5,59.2,62,60,36.1,47,69.6,65.2,53.3,59.4,63.9,4136,8.2,1.6,0.1,0.2,13.1,58.1,7790.4,18.6,4.7,1.1,0,94.3,21221,4574,11244,3187,509,1707,14014,3283,2015,100,97.7,100,0.2155412,0.5298525,0.15018142,0.023985675,0.08043919,0.6603836,0.1547052,Medium
111,Macon County,5,5,4,76.8,44.8,64.4,37.9,43,70.7,63.6,43.6,49.1,61.6,3637,0.6,8.2,0.4,2.9,17.1,62.8,8166.7,18.5,6.6,2,0.2,86,18304,3979,10348,2075,532,1370,12906,2826,2015,95.8,98,95.2,0.2173842,0.5653409,0.1133632,0.029064685,0.07484703,0.7050918,0.1543925,Low
113,Madison County,1,2,1,54.8,35.6,50.7,43.3,37.8,57.2,51.7,34.8,38.2,46.8,12280,60.5,6.7,0.1,4,14.8,78.1,9489.4,17.3,19.4,13,0.1,94.5,79140,26020,36213,10150,1858,4899,54009,19505,2015,94.4,87.7,90,0.3287844,0.4575815,0.12825373,0.023477382,0.06190296,0.6824488,0.246462,Medium
115,Marion County,1,1,3,72.5867,20.5,78.1,38.3,45.9,72.4,59.3,51.2,53.5,68.1,4029,4.9,2,0.1,0,14,65.4,8697.2,18.7,16.3,0.8,0.1,84,23320,5212,12571,2783,527,2227,16478,3982,2015,94.3,98.2,92.1,0.2234991,0.5390652,0.11933962,0.022598628,0.09549743,0.7066038,0.1707547,Low
115,Marion County,3,3,3,78.3,54.5,61.5,29.041634,51.2,81.8,88.5,25,59.4,58.6,270,6,1.1,0,0,9.8,58.6,9223.6,20.1,22.8,0,0,92,23320,5212,12571,2783,527,2227,16478,3982,2015,93.3,99.5,93.3,0.2234991,0.5390652,0.11933962,0.022598628,0.09549743,0.7066038,0.1707547,Medium
117,Marshall County,5,5,5,86.1,68,74.2,45.5,48,71.9,73.1,41.8,59.8,72.5,5208,9.4,7.7,0.4,3,12.2,53.7,8583.7,18.9,12.3,3.4,0,89.9,25051,5828,13336,3511,514,1862,15390,4015,2015,95.4,97,93,0.2326454,0.532354,0.14015409,0.020518143,0.07432837,0.6143467,0.160273,Low
119,Maury County,1,3,3,65.1,55.3,65.2,40.2,43.3,68.6,61.6,41,45.4,60.1,11586,19.2,9,0.1,3.2,15.6,55.6,9106.2,18.6,29,5,0,87,67259,17628,34142,9757,1391,4341,37175,11804,2015,93.1,98,93.5,0.2620913,0.5076198,0.14506609,0.020681247,0.06454155,0.5527141,0.1755007,Low
121,Meigs County,3,4,3,71.2,47.6,72.1,43.6,49.3,74.8,75.5,59.1,59.1,66.5,1680,1.4,1.3,0.2,0.2,19.2,69.3,8703.1,19.2,13.8,2.2,0,100,9708,1797,5408,1390,282,831,6733,1385,2015,95,99.1,92.8,0.1851051,0.5570663,0.14318088,0.029048208,0.08559951,0.6935517,0.1426658,Very High
123,Monroe County,1,2,3,62.8,51.6,66,35.6,41.5,64.4,58.6,45.4,49.5,55,5335,2.5,4.9,0.3,0.2,14.8,65.6,8566.8,17.9,12,3.9,0.1,95.2,37228,6867,22499,4232,698,2932,24005,4980,2015,95,99.7,95,0.1844579,0.6043569,0.11367788,0.018749328,0.07875792,0.6448104,0.1337703,High
123,Monroe County,3,3,5,45.17866,25.50374,60.9308,44.613907,50.1,68.59541,62.11187,30.64213,59.9,61.4,1509,7.5,9,0.2,0.4,19.6,79.1,8332,18.52677,10,2.4,0,89.78298,37228,6867,22499,4232,698,2932,24005,4980,2015,95.1,98.6,95.48945,0.1844579,0.6043569,0.11367788,0.018749328,0.07875792,0.6448104,0.1337703,Low
125,Montgomery County,5,5,5,74.1,67.9,76.8,52.8,55.6,77.2,70.6,47.9,63.5,78.1,30670,28.2,11.5,1,2.7,14.2,49.4,8675.5,19.4,6,5.3,0.3,93.4,142518,38304,77180,17166,3558,6310,43006,15957,2015,96.2,98.7,95.3,0.2687661,0.5415456,0.12044794,0.024965268,0.04427511,0.3017584,0.1119648,Medium
127,Moore County,5,5,3,78,43.5,85.1,60,54.3,90.1,73,32.4,61.9,67.8,886,3.6,0.8,0.2,0,15.3,48.5,9946.8,18.5,8.8,1.2,0,86.7,5326,1171,3056,560,72,467,3595,982,2015,96.1,99.3,96.2,0.2198648,0.573789,0.10514457,0.013518588,0.08768306,0.6749906,0.1843785,Low
129,Morgan County,1,1,1,53.1,24.3,52,25.6,34.1,66.1,55.1,32.9,35.2,50.8,3009,1,1.1,0.2,0.3,15.3,68.4,8597.9,17.9,5.7,1.4,0,97.9,18307,4561,9469,2771,353,1153,13546,3455,2015,96.7,96.5,98.2,0.2491397,0.5172338,0.15136287,0.019282242,0.06298137,0.7399355,0.1887256,High
131,Obion County,1,2,2,77.6,75.3,74.5,61.8,47.3,74,66,49.5,53.6,71.3,3435,5.6,4.5,0,0,15,59.1,8731.7,19.1,11.3,2.2,0,87.7,25469,6160,13282,3261,750,2016,16317,4464,2015,95.2,98.3,94.3,0.2418627,0.5214967,0.12803801,0.029447564,0.07915505,0.6406612,0.1752719,Low
131,Obion County,5,5,5,79.5,87.8,74,68.6,46.2,67.5,66.7,63.1,53.3,58.6,1526,41.9,10.7,0.3,4.8,11.1,67.9,9229.5,21.1,6.9,4.2,0,88.6,25469,6160,13282,3261,750,2016,16317,4464,2015,95.6,96.5,95.2,0.2418627,0.5214967,0.12803801,0.029447564,0.07915505,0.6406612,0.1752719,Low
133,Overton County,1,1,1,77.9,27.6,71.2,46.3,48.1,82.3,55.9,40,57.6,69.5,3086,1.4,0.7,0.5,0,13.5,71.5,8426.3,18.9,14,0.8,0,91.2,17975,3403,11010,2043,202,1317,12242,2572,2015,94.8,100,93.7,0.1893185,0.6125174,0.11365786,0.01123783,0.07326843,0.681057,0.1430876,Medium
135,Perry County,3,3,3,48.5,50.6,58,19,42.6,60.8,60.6,35.6,61.8,66.5,1058,3.2,2.1,0.8,0,17.1,71.7,9212,18,24.1,1.5,0,91.9,6428,1616,3363,820,106,523,4366,1233,2015,98,96.8,97.1,0.2514001,0.5231798,0.12756689,0.016490355,0.08136279,0.6792159,0.1918171,Medium
137,Pickett County,1,1,1,85.9,33.3,69.4,29.9,33.5,77,65.2,29.1,28.9,52.7,733,0.8,2.3,0,0,14.7,65.3,8184.2,19.7,13.6,0.1,0,94.4,4329,574,2889,406,86,374,2378,439,2015,94.1,96.4,94.6,0.1325941,0.6673597,0.09378609,0.01986602,0.08639409,0.5493185,0.1014091,Medium
139,Polk County,3,2,3,60.5,59.9,70.2,43.6,41.6,64.1,54.8,41.1,53.7,55.8,2388,1.2,2.3,0.2,0,13.9,70.5,8629.2,17.9,16,1.4,0,87.6,13893,2818,7911,1783,257,1124,8276,1872,2015,93.7,99.6,95,0.202836,0.5694235,0.12833801,0.018498524,0.08090405,0.5956957,0.1347441,Low
141,Putnam County,1,1,1,65.53888,32.07333,73.9,40.6,48.9,74.9,69.1,36.3,53.4,67.7,10439,4.2,11.4,0.4,6.3,17.7,55,8815.7,19.6,8.8,3.2,0,92.6,60862,18901,29374,7803,923,3861,36553,12974,2015,96.1,99.1,95.8,0.310555,0.4826328,0.12820808,0.015165456,0.0634386,0.6005882,0.2131708,Medium
143,Rhea County,3,3,3,75.8,56,62.3,55.6,47.5,71.3,68.8,48.1,59.8,66.8,4174,2.1,7.7,0.4,2.9,12,70.1,9006,18.6,19.8,3.9,0,85.3,26253,6330,13350,4248,820,1505,16720,4094,2015,94.4,94.62376,91.5,0.2411153,0.5085133,0.16181008,0.031234526,0.05732678,0.6368796,0.1559441,Low
143,Rhea County,1,2,1,91.7,64.3035,65.89423,69.641571,47.5,77.08735,62.04068,52.39076,47.4,70,788,6.4,11.3,0.1,6,14,54.5,8556.7,20.40648,11.8,0.9,0,101.46257,26253,6330,13350,4248,820,1505,16720,4094,2015,94.9,97,93.74698,0.2411153,0.5085133,0.16181008,0.031234526,0.05732678,0.6368796,0.1559441,Very High
145,Roane County,1,1,1,70.1,54.2,65.9,52.5,48.3,74.3,65.2,40.1,53.4,70.9,6593,5.2,1.8,0.6,0,17.3,60.2,8960,19,10.13895,0.1,0,92.8,44546,9524,24362,6238,739,3683,27710,6900,2015,98.2,98.8,97.7,0.2138015,0.5468953,0.14003502,0.016589593,0.08267858,0.6220536,0.1548961,Medium
147,Robertson County,3,5,3,73.3,58.5,65.4,42.4,47.5,78.3,67.7,42.3,55.5,58.1,11001,11.3,12.1,0.2,6.6,15.3,51.6,8077.1,19.4,10.3,4.7,0,95.1,53332,12662,30394,6059,753,3464,32761,8897,2015,99.9,95.5,99.4,0.2374184,0.5699017,0.11360909,0.014119103,0.06495162,0.6142841,0.1668229,High
149,Rutherford County,5,1,1,74.6,59.9,73,59.9,58.7,79.6,72,48.1,64.9,76.9,40841,18.6,11.6,0.2,5.9,11,39.7,8237.1,19.9,20.5,4.2,0.3,92.5,222745,70542,113674,25279,3749,9501,108166,41817,2015,96.4,99.2,97.6,0.316694,0.5103324,0.11348852,0.016830905,0.04265416,0.4856046,0.1877349,Medium
149,Rutherford County,1,1,1,47.21636,25.32091,70.30664,60.195512,49.2,80.80186,87.48234,40.41874,62,60.2,7411,28.5,12.4,0.4,8.1,14.9,52.8,9354.9,18.45989,2.4,1.1,0,83.95648,222745,70542,113674,25279,3749,9501,108166,41817,2015,97.4,99.7,94.32821,0.316694,0.5103324,0.11348852,0.016830905,0.04265416,0.4856046,0.1877349,Low
151,Scott County,1,1,1,55,35.4,52,19.5,41.6,67.5,53.2,37.1,42.1,54.6,2849,0.3,1.3,0.2,0,13.3,86.8,8241.7,16.8,9.4,3.3,0.2,85.4,17564,3931,8820,3022,408,1383,12656,3006,2015,95.4,100.8301,94.6,0.2238101,0.5021635,0.17205648,0.023229333,0.07874061,0.7205648,0.1711455,Low
151,Scott County,4,3,5,74.1,78.4,86.5,42.1,47.9,85.4,69,59.4,48.9,63.1,1221,0.7,0.5,0.2,0,10.1,63.5,8405.5,19.4,4.2,0,0,98.8,17564,3931,8820,3022,408,1383,12656,3006,2015,95.7,98.1,97.3,0.2238101,0.5021635,0.17205648,0.023229333,0.07874061,0.7205648,0.1711455,High
153,Sequatchie County,1,1,1,67.7,46.1,77.8,27.3,38.2,71.2,69.1,30.1,47.7,54.3,2166,0.6,5,1.2,1.6,17.5,68.1,7904.6,19.4,18.6,2.5,0.3,85.6,11771,2229,6621,1913,279,729,7731,1689,2015,94.4,99.1,92.1,0.1893637,0.5624841,0.16251805,0.023702319,0.06193187,0.6567836,0.1434882,Low
155,Sevier County,1,1,1,66,48.5,63.7,48.4,43.3,69.1,65.5,48.7,47.3,62.9,14024,2,8.9,0.4,5.2,14.4,63.3,9614.4,20.3,19.5,1.4,0,86.2,77163,17518,41709,10643,1910,5383,35768,8580,2015,94,98.8,92.7,0.2270259,0.5405311,0.1379288,0.024752796,0.06976141,0.4635382,0.1111932,Low
157,Shelby County,5,5,5,59.3,37.3,42.8,23.7,33,55.4,48.9,24,39.8,47.8,108936,78.4,11.3,0.1,8.3,12.9,79.8,11221.6,16.9,17.5,18.5,0.8,72.1,738098,298134,285516,84455,26570,43423,412951,200990,2015,94.7,95.3,92.9,0.403922,0.3868267,0.11442248,0.03599793,0.05883094,0.5594799,0.272308,Low
157,Shelby County,5,5,5,88,66.9,82.5,49.8,75.7,88.8,78.1,50.7,75.1,88.3,4819,16,5.3,0.4,2.2,11,13.9,7705.1,21.1,7.9,2.3,0.1,94,738098,298134,285516,84455,26570,43423,412951,200990,2015,95.8,99.6,95,0.403922,0.3868267,0.11442248,0.03599793,0.05883094,0.5594799,0.272308,Medium
157,Shelby County,5,5,4,78.1,59.5,71.8,36.2,60.6,80.3,74.6,41.6,66.2,75.9,8235,27.5,5,0.6,2.3,13.8,36.3,8857.7,20.5,9.6,4,0.3,81.3,738098,298134,285516,84455,26570,43423,412951,200990,2015,95.5,99.3,94.4,0.403922,0.3868267,0.11442248,0.03599793,0.05883094,0.5594799,0.272308,Low
157,Shelby County,5,5,5,90.2,85.6,87.4,80.4,75.1,92.5,86.2,66.2,75.7,86.8,7774,17.5,4.3,0.4,4,13.4,15,8383.2,24,5.9,2.8,0.3,93,738098,298134,285516,84455,26570,43423,412951,200990,2015,95.9,99.4,95.9,0.403922,0.3868267,0.11442248,0.03599793,0.05883094,0.5594799,0.272308,Medium
157,Shelby County,3,5,3,90,84.2,88.9,78.5,79.4,90.8,87.7,70.8,74.3,88,5624,12.3,3.1,0.3,2.6,9.8,9.6,7930.8,24.1,5.1,1.3,0,88.7,738098,298134,285516,84455,26570,43423,412951,200990,2015,96.7,99.3,96.2,0.403922,0.3868267,0.11442248,0.03599793,0.05883094,0.5594799,0.272308,Low
157,Shelby County,5,5,5,92.307,74.27111,100.34877,61.535635,83.2,91.76905,94.90182,59.84373,88.2,90.9,835,8.2,2.6,0.4,3.6,19.3,14.7,8685.3,24.98818,3.9,0,0,87.46915,738098,298134,285516,84455,26570,43423,412951,200990,2015,96.2,98.5,100.01605,0.403922,0.3868267,0.11442248,0.03599793,0.05883094,0.5594799,0.272308,Low
157,Shelby County,3,3,3,57.9,32.7,50.9,28.7,42.1,59.5,53.9,32.9,48.4,59.2,2597,38.8,11.3,0.8,3.7,16.1,75.2,8913.3,17.7,13.9,9.6,0.1,78.2,738098,298134,285516,84455,26570,43423,412951,200990,2015,95.1,98.6,93.8,0.403922,0.3868267,0.11442248,0.03599793,0.05883094,0.5594799,0.272308,Low
159,Smith County,1,1,1,55.33014,39.17001,70.6,36.5,48.3,77.4,68.4,42.5,56.9,71.3,2949,3.5,3.6,0.2,0.7,14.7,57.9,8324.1,18.5,4.8,2.1,0.1,97.4,15367,3077,9085,1795,268,1142,11003,2333,2015,96.7,98.8,96.7,0.2002343,0.5912019,0.11680875,0.017439969,0.07431509,0.7160148,0.1518188,High
161,Stewart County,3,5,3,77.6,80.7,66.7,68.9,54.8,82.5,70.7,59.4,68.9,80,1950,2.6,2.1,0.6,0.1,13.4,49.1,9003.3,19.4,22.5,1.3,0,96.1,10852,2232,6227,1493,109,791,5237,1334,2015,92.5,88.14028,94,0.2056764,0.5738113,0.13757833,0.010044231,0.07288979,0.4825839,0.1229266,High
163,Sullivan County,1,1,1,65.9,57.4,61.9,36.7,48.7,71.6,61.8,43.2,50.8,66.8,9963,1.5,1.6,0.3,0.4,17.6,58.3,9189.9,19.9,15,4.3,0.3,92.6,131103,28097,70654,18594,3073,10685,73325,19216,2015,94.9,99.2,93.7,0.2143124,0.5389198,0.14182742,0.023439586,0.0815008,0.5592931,0.1465718,Medium
163,Sullivan County,3,5,3,67.2,61.1,65.4,65.4,55.3,75.5,73.4,54.1,63.3,76.5,3922,5.7,3,0.4,1.1,15.9,50.4,9829.8,21.3,11,3.4,0,88.7,131103,28097,70654,18594,3073,10685,73325,19216,2015,95.5,98.5,93.5,0.2143124,0.5389198,0.14182742,0.023439586,0.0815008,0.5592931,0.1465718,Low
163,Sullivan County,3,3,1,87.5,75.5,83.9,71.7,58.5,82.4,77.7,49.7,67.1,75.7,6906,10.1,4,0.5,1.3,19.9,56.5,10438.8,22.2,15.8,4.6,0,90.3,131103,28097,70654,18594,3073,10685,73325,19216,2015,94.8,99.4,93.5,0.2143124,0.5389198,0.14182742,0.023439586,0.0815008,0.5592931,0.1465718,Medium
165,Sumner County,5,5,5,73.8,59.4,68.6,52.6,60.3,76,70,48.5,67.7,72.5,27724,10.8,6.5,0.3,2,15.3,36.7,8402,20.4,9.3,2.4,0,89.5,135564,32598,75429,16483,2829,8225,69450,18893,2015,97.4,98.6,96,0.2404621,0.5564088,0.12158833,0.020868372,0.06067245,0.5123042,0.1393659,Low
167,Tipton County,5,5,5,84.4,82,68.2,48.4,49.3,74.7,72.4,46.8,64.1,68.2,11029,24.7,2,0.2,0.4,16,55.5,8279.2,19.7,10.4,5.6,0,97.8,48649,13619,25228,5891,1009,2902,31557,10202,2015,95.4,97.6,93.8,0.2799441,0.5185718,0.1210919,0.020740406,0.05965179,0.648667,0.2097063,High
169,Trousdale County,3,1,2,75.6,68.4,59.3,67.9,59.8,67.8,71.3,51.7,75.8,82.1,1178,14.7,3.8,0.2,1.1,16.4,57.3,8816.6,20.8,9.2,1.1,0,96.9,6439,1853,3169,809,206,402,4650,1350,2015,95.7,98.4,93.5,0.2877776,0.4921572,0.12564063,0.031992545,0.06243205,0.7221618,0.2096599,High
171,Unicoi County,1,1,1,51.2,26.6,72.6,42.6,42.8,75.7,63.3,37.8,48.5,68.4,2362,0.6,11.4,0.3,4.8,19,66.5,9362,18.1,23.3,2.4,0,93.6,15199,3546,8025,1833,310,1485,9746,2464,2015,91.2,99.6,90.2,0.2333048,0.5279953,0.12060004,0.020396079,0.0977038,0.6412264,0.1621159,Medium
173,Union County,5,3,5,63.4,55,53.1,47,38.2,64.9,54.6,48.3,38.1,50.8,4199,6,2.9,0.4,0.4,14.1,71.9,8802.5,17.4,20.9,5.2,0.1,87.1,15486,3365,8645,2158,348,970,10509,2507,2015,95.3,99.2,91.4,0.217293,0.5582462,0.13935167,0.02247191,0.06263722,0.6786129,0.1618882,Low
175,Van Buren County,4,3,5,68.3,68.5,49.2,32.8,35.8,62.3,57.7,41.9,41.6,55.8,728,0.1,0,0,0,17.2,63.9,9622.2,18.4,10.9,0.4,0,91.5,4704,925,2436,754,129,460,3529,792,2015,96.9,95.01854,97.9,0.1966412,0.5178571,0.16028912,0.027423469,0.09778912,0.7502126,0.1683673,Medium
177,Warren County,3,2,5,63.37046,30.89976,57.3,34.7,43.7,72.5,60.7,17.7,48.6,63.7,6371,5.6,15.5,0.5,6.7,16.5,70.2,8600.8,18.4,15,1.5,0,89.1,32016,7507,16080,5300,802,2327,22099,5529,2015,94.9,98.8,92.7,0.2344765,0.5022489,0.16554223,0.025049975,0.07268241,0.6902486,0.1726949,Low
179,Washington County,1,1,1,67,48.7,67.6,58.9,55,74.4,67.9,50.5,61.7,71,8546,2.5,3,0.4,0.6,14.3,48.2,8500.9,20.2,14.7,1.3,0.1,91,104739,29911,53178,13208,1792,6650,59207,18159,2015,95.2,97.3,92.1,0.2855765,0.5077192,0.12610393,0.017109195,0.06349115,0.5652813,0.1733738,Medium
179,Washington County,5,5,5,86.1,86.4,81.7,65,67.3,82.7,78,63.8,73.7,77.6,7669,14.4,8.7,0.2,4.9,13.7,49.5,9434.3,21.8,8.3,3.3,0.2,90.4,104739,29911,53178,13208,1792,6650,59207,18159,2015,95.8,99.4,93.7,0.2855765,0.5077192,0.12610393,0.017109195,0.06349115,0.5652813,0.1733738,Medium
181,Wayne County,1,1,1,71.8,56,69.5,29.7,36.9,78.1,68.9,32.9,42.6,60.3,2215,1.2,1.7,0.2,0.1,19.1,43.6,9505.6,18.2,19.7,0,0,95.8,14389,3876,7179,1982,271,1081,8502,2328,2015,93.8,97.2,92.9,0.2693724,0.4989228,0.13774411,0.018833831,0.07512683,0.590868,0.1617903,High
183,Weakley County,1,2,1,79.3,64.3,81.2,50.7,55.4,83.6,71.7,60.3,59.1,75.9,4209,9.9,2.3,0.1,0.1,14.1,58,8439.3,19.7,9.9,4.4,0,93,28865,9051,14130,3132,431,2121,20197,6738,2015,95.5,96.1,93.7,0.3135631,0.4895202,0.10850511,0.014931578,0.07347999,0.6997055,0.2334315,Medium
185,White County,2,1,4,80.3,58.6,82.8,20.2,47.2,78.5,72.1,49.8,59,68.2,3871,3.6,2.1,0.2,0.5,16.7,66.7,7721.1,18.7,8.4,0.8,0,92.5,21432,4816,11559,2895,296,1866,13678,3648,2015,96.1,98.2,95.3,0.2247107,0.5393337,0.13507839,0.013811124,0.08706607,0.6382046,0.1702128,Medium
187,Williamson County,2,3,1,90.3,84.8,89.2,81,80.7,92.9,88.7,68.6,80.3,91.1,34395,5,5.3,0.7,1.7,10.2,9.6,8739.7,23.8,7,0.2,0,94.4,153161,32946,101106,12055,940,6114,55313,16786,2015,96.7,99.9,94.9,0.215107,0.6601289,0.07870803,0.006137333,0.03991878,0.3611428,0.1095971,Medium
187,Williamson County,3,5,3,100,94.39778,78.5004,110.794126,69.1,97.15268,94.87087,71.29669,73.2,83.3,3515,15.5,24,0.7,12.2,12.5,38.9,13386.3,23.3489,3.2,0.3,0,86.40572,153161,32946,101106,12055,940,6114,55313,16786,2015,97.3,99.8,99.8441,0.215107,0.6601289,0.07870803,0.006137333,0.03991878,0.3611428,0.1095971,Low
189,Wilson County,5,5,5,69.8,58,74.1,45.4,60.6,78.1,76.1,44,65.3,81.9,16507,8.1,4.6,0.1,2.2,14.4,29.2,7690.8,20,11.6,4.8,0,96.3,97869,22605,55410,12370,1934,5550,52467,14724,2015,95.8,99.5,94.3,0.230972,0.566165,0.12639344,0.019761109,0.05670846,0.5360942,0.150446,High
189,Wilson County,5,5,1,100,80.73027,82.48593,70.377729,49.8,91.64778,86.21532,42.46708,52.6,71.3,3572,18.4,13,0.4,9.2,14,61.9,8444.1,21.68235,8.4,4.9,0,98.15298,97869,22605,55410,12370,1934,5550,52467,14724,2015,98.7,99.2,95.50706,0.230972,0.566165,0.12639344,0.019761109,0.05670846,0.5360942,0.150446,High
157,Shelby County,1,2,2,34,20.4,20.6,8.296252,14.3,37.8,33,8.2,23.3,26.1,6370,96.7,1.5,0,1.1,12.9,96.6,12804.4,14.2,27.2,21.4,0.1,54.7,738098,298134,285516,84455,26570,43423,412951,200990,2015,91.9,91.6,92,0.403922,0.3868267,0.11442248,0.03599793,0.05883094,0.5594799,0.272308,Low
